# gen L_t L_1 L_2 L_e_train L_f_train L_e_test L_f_test
0 5.51162 0.03936 0.04908 4.49773 1.01381 4.43950 1.13587
0 5.62853 0.03987 0.04971 4.67123 0.95721 4.59787 1.09909
0 5.44323 0.03964 0.04978 4.45939 0.98375 4.38950 1.11666
0 5.53802 0.03942 0.04950 4.55133 0.98660 4.47931 1.13464
0 5.46892 0.03916 0.04894 4.48058 0.98825 4.40479 1.12457
0 5.41504 0.04087 0.05069 4.42587 0.98908 4.35461 1.11768
0 5.48503 0.03963 0.04938 4.50607 0.97888 4.44072 1.10200
0 5.38905 0.04029 0.05048 4.37248 1.01648 4.30323 1.14193
0 5.64493 0.04114 0.05128 4.67609 0.96874 4.63262 1.10377
0 5.67265 0.03937 0.04915 4.69591 0.97665 4.63950 1.11445
0 5.55474 0.04062 0.05090 4.58427 0.97038 4.52294 1.10142
0 5.50792 0.03874 0.04903 4.53218 0.97566 4.46248 1.11101
0 5.54048 0.03978 0.05024 4.57591 0.96448 4.51513 1.10129
0 5.67886 0.04011 0.05044 4.67768 1.00109 4.61450 1.13419
0 5.46059 0.04013 0.05049 4.44282 1.01768 4.36671 1.14390
0 5.73508 0.04044 0.05062 4.76263 0.97236 4.69240 1.11529
0 5.57441 0.03956 0.04960 4.60246 0.97186 4.55020 1.10339
0 5.48369 0.04049 0.05043 4.47536 1.00823 4.41040 1.13612
0 5.61396 0.04008 0.05027 4.61258 1.00129 4.54297 1.14569
0 5.49556 0.03952 0.04922 4.57404 0.92143 4.52080 1.05521
0 5.55883 0.04014 0.04993 4.58132 0.97742 4.52741 1.10837
0 5.68749 0.04021 0.05001 4.68104 1.00636 4.60885 1.14366
0 5.60922 0.03900 0.04907 4.59921 1.00993 4.52708 1.15016
0 5.53104 0.03936 0.04977 4.53916 0.99179 4.47456 1.12503
0 5.54498 0.03997 0.05013 4.56380 0.98109 4.51407 1.11520
0 5.53977 0.03942 0.04932 4.57010 0.96958 4.52128 1.11134
0 5.35051 0.04012 0.05008 4.37324 0.97717 4.30139 1.10847
0 5.46287 0.03856 0.04860 4.48950 0.97329 4.42161 1.11461
0 5.57523 0.03957 0.05007 4.56889 1.00625 4.49810 1.13874
