# gen L_t L_1 L_2 L_e_train L_f_train L_e_test L_f_test
0 16.01777 727.98895 2464.72412 1.24632 11.57874 1.84555 7.90803
0 13.26040 727.98895 2464.72412 1.89350 8.17419 1.84555 7.90803
0 12.72915 727.98895 2464.72412 2.79010 6.74634 1.84555 7.90803
0 11.18073 727.98895 2464.72412 2.92335 5.06466 1.84555 7.90803
0 7.99370 727.98895 2464.72412 1.04343 3.75756 1.84555 7.90803
0 53.73613 727.98895 2464.72412 1.96639 48.57703 1.84555 7.90803
0 13.47074 727.98895 2464.72412 1.96506 8.31297 1.84555 7.90803
0 29.00203 727.98895 2464.72412 1.77319 24.03613 1.84555 7.90803
0 16.10826 727.98895 2464.72412 3.49109 9.42446 1.84555 7.90803
0 21.18518 727.98895 2464.72412 1.63291 16.35956 1.84555 7.90803
0 17.70864 727.98895 2464.72412 2.28699 12.22894 1.84555 7.90803
0 6.21998 727.98895 2464.72412 2.33378 0.69349 1.84555 7.90803
0 13.89641 727.98895 2464.72412 1.50175 9.20194 1.84555 7.90803
0 30.43197 727.98895 2464.72412 2.32405 24.91521 1.84555 7.90803
0 240.31595 727.98895 2464.72412 2.66266 234.46059 1.84555 7.90803
0 26.06808 727.98895 2464.72412 1.39497 21.48040 1.84555 7.90803
0 18.72902 727.98895 2464.72412 1.56564 13.97067 1.84555 7.90803
0 15.67236 727.98895 2464.72412 1.48933 10.99032 1.84555 7.90803
0 4.47294 727.98895 2464.72412 1.28023 0.00000 1.84555 7.90803
0 11.90505 727.98895 2464.72412 0.83150 7.88084 1.84555 7.90803
